LA (name),EstablishmentName,Postcode,Region,HE Provider,Biofuels (kWh),Biomass (kWh),Carbon allowance (tonnes CO2e),Carbon allowance bought or sold (tonnes CO2e),Coal (industrial) (kWh),Compressed natural gas (kWh),Cost (£),Electricity consumed from onsite CHP (kWh),Fuel oil (kWh),Gas oil (kWh),Grid electricity (kWh),Heat consumed from onsite CHP (kWh),Liquefied natural gas (kWh),Liquefied petroleum gas (kWh),Lubricants (kWh),Natural gas excluding that used as input for a CHP unit (kWh),Natural gas used as input for a CHP unit (kWh),Onsite photovoltaic (kWh),Onsite wind (kWh),Other onsite renewables (kWh),Other petroleum gas (kWh),Participation,Petroleum coke (kWh),Research income (£),Steam and hot water (kWh),Teaching income (£),Total energy consumption (kWh),Total energy generated onsite by CHP (kWh),Total expenditure (£),Total gross internal area (m2),Total income (£),Total percentage of renewable energy purchased through green tariffs (%),Total renewable energy generated onsite or offsite (kWh)
,Rose Bruford College of Theatre and Performance,,,Rose Bruford College of Theatre and Performance,0.0,0.0,0.0,0.0,14247560.0,1518085.0,0.0,00,00,00,879934888212,00,0.0,00,00,00,00,00,0.0,00,0.0,0.0,0.0,2480000.0,00,11744000.0,23046902406297,0000,146120000,1370713707,14758000,0.0%0.0%0.0%0.0%,1111
Kensington and Chelsea,Royal College of Art,SW7 2EU,London,Royal College of Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4761383.863,0,0.0,0,0,4886822.71,0,0,0.0,0,0.0,0.0,0.0,7778000.0,1121689.92,77186000.0,10769896.493,00,91004000,51081.57,100405000,0.1%0.1%,00
Kensington and Chelsea,Royal College of Music,SW7 2BS,London,Royal College of Music,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,14486241510955,00,0.0,00,00,15628101456549,00,00,0.0,00,0.0,0.0,0.0,16430001224000.0,00,2305200022154000.0,30114342967504,0000,3241400032980000,16670.216670.2,3407400033095000,48.0%50.9%48.0%50.9%,0
Surrey,Royal Holloway and Bedford New College,TW20 0EX,South East,Royal Holloway and Bedford New College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705916711820,00,00,15546758.916629266,856415842054,0.0,00,00,2172399221131366,15062101599595,4612545721,0.0,00,0.0,0.0,0.0,3139000032327000.0,00,1.43666000132458e+17,38879206.939360227,1608456.213114051608456.21311405,211812000232447000,187735.22187735.22,216104000201103000,0.0%0.0%0.0%0.0%,93676456559367645655
Sheffield,Sheffield Hallam University,S1 1WB,Yorkshire and the Humber,Sheffield Hallam University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,1741576317125524,00,0.0,00,00,51465034942340,00,5146852280,0.0,00,0.0,0.0,0.0,2071300017424000.0,1228029811952150,2.87293000283192e+17,3489403234072294,0000,334929000330090000,196529.9196529.899,329672000314945000,0.1%34.0%0.1%34.0%,51468522805146852280
,SOAS University of London,,,SOAS University of London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2061139,0,0,26343,1402009,0.0,0,0,1573190,0,0,0.0,0,0.0,0.0,0.0,13509000.0,0,78815000.0,5062681,00,89686000,39718.3,102812000,16.0%16.0%,00
,Solent University,,,Solent University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,7233562.77919345.4,00,0.0,00,00,1089890.711459527.39,00,00,0.0,00,0.0,0.0,0.0,548000701000.0,27691203754780,9382800092321000.0,11092573.4113133652.79,0,109434000108941000,105689116860,106245000103614000,0,0
,SRUC,,,SRUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,3054500019110000.0,0,3060200031287000.0,0,0,9791800089417000,128735126417,9169000088629000,0,0
,"St George's, University of London",,,"St George's, University of London",0.0,0.0,0.0,0.0,0.0,0.0,0.0,74268367723995.504,00,00,29362782754759.286,42439061587568.914,0.0,00,00,1521597499714,2121953119454940.61,00,0.0,00,0.0,0.0,0.0,1710400015397000.0,70528069617200.193,5237900053180000.0,2318142322183237.897,116707429311564.417116707429311564.417,8800600096401000,70459.1270592.2,8965600087834000,0.0%0.0%0.0%0.0%,0000
,St Mary's University College,,,St Mary's University College,0.0,710000539900.0,0.0,0.0,0.0,0.0,0.0,232883754,4658563735,00,531534463217,210045000,0.0,010464,00,365874919678,8181299267,00,0.0,00,0.0,0.0,0.0,610000.0,00,91400009125000.0,16584212125748,44281287544428128754,100030009509000,1481014810,101400009855000,0,0
Richmond upon Thames,"St Mary's University, Twickenham",TW1 4SX,London,"St Mary's University, Twickenham",0.0,0.0,0.0,0.0,72263240.0,7028977.0,0.0,00,00,00,3338760.13585561,00,0.0,00,00,00,00,00,0.0,00,0.0,0.0,0.0,19760001755000.0,00,4570000043078000.0,10565084.110614538,0000,5728800053927000,4842048149,5764700054358000,0,0
