HE Provider,Academic Year,Region of HE provider,Category marker,Category,Value
Queen's University Belfast,2022/23,Northern Ireland,Finances,Total income (£),460525000
Queen's University Belfast,2022/23,Northern Ireland,Finances,Teaching income (£),237359000
Queen's University Belfast,2022/23,Northern Ireland,Finances,Research income (£),134911000
Queen's University Belfast,2022/23,Northern Ireland,Finances,Other non-residential income (£),66198000
Queen's University Belfast,2022/23,Northern Ireland,Finances,Non-residential income total (£),438468000
Queen's University Belfast,2022/23,Northern Ireland,Finances,Total expenditure (£),441464000
Birkbeck College,2022/23,London,Finances,Total income (£),110284000
Birkbeck College,2022/23,London,Finances,Teaching income (£),75360000
Birkbeck College,2022/23,London,Finances,Research income (£),21774000
Birkbeck College,2022/23,London,Finances,Other non-residential income (£),12421000
Birkbeck College,2022/23,London,Finances,Non-residential income total (£),109555000
Birkbeck College,2022/23,London,Finances,Total expenditure (£),108152000
Birmingham City University,2022/23,West Midlands,Finances,Total income (£),316832000
Birmingham City University,2022/23,West Midlands,Finances,Teaching income (£),284423000
Birmingham City University,2022/23,West Midlands,Finances,Research income (£),7924000
Birmingham City University,2022/23,West Midlands,Finances,Other non-residential income (£),18972000
Birmingham City University,2022/23,West Midlands,Finances,Non-residential income total (£),311319000
Birmingham City University,2022/23,West Midlands,Finances,Total expenditure (£),297555000
The University of Birmingham,2022/23,West Midlands,Finances,Total income (£),928716000
The University of Birmingham,2022/23,West Midlands,Finances,Teaching income (£),504819000
The University of Birmingham,2022/23,West Midlands,Finances,Research income (£),249809000
The University of Birmingham,2022/23,West Midlands,Finances,Other non-residential income (£),122655000
The University of Birmingham,2022/23,West Midlands,Finances,Non-residential income total (£),877283000
The University of Birmingham,2022/23,West Midlands,Finances,Total expenditure (£),890524000
University College Birmingham,2022/23,West Midlands,Finances,Total income (£),73160000
University College Birmingham,2022/23,West Midlands,Finances,Teaching income (£),64991000
University College Birmingham,2022/23,West Midlands,Finances,Research income (£),0
University College Birmingham,2022/23,West Midlands,Finances,Other non-residential income (£),2917000
University College Birmingham,2022/23,West Midlands,Finances,Non-residential income total (£),67908000
University College Birmingham,2022/23,West Midlands,Finances,Total expenditure (£),70132000
Bishop Grosseteste University,2022/23,East Midlands,Finances,Total income (£),21248000
Bishop Grosseteste University,2022/23,East Midlands,Finances,Teaching income (£),17209000
Bishop Grosseteste University,2022/23,East Midlands,Finances,Research income (£),269000
Bishop Grosseteste University,2022/23,East Midlands,Finances,Other non-residential income (£),2252000
Bishop Grosseteste University,2022/23,East Midlands,Finances,Non-residential income total (£),19730000
Bishop Grosseteste University,2022/23,East Midlands,Finances,Total expenditure (£),24051000
The Arts University Bournemouth,2022/23,South West,Finances,Total income (£),52660000
The Arts University Bournemouth,2022/23,South West,Finances,Teaching income (£),40511000
The Arts University Bournemouth,2022/23,South West,Finances,Research income (£),564000
The Arts University Bournemouth,2022/23,South West,Finances,Other non-residential income (£),2467000
The Arts University Bournemouth,2022/23,South West,Finances,Non-residential income total (£),43542000
The Arts University Bournemouth,2022/23,South West,Finances,Total expenditure (£),53664000
Bournemouth University,2022/23,South West,Finances,Total income (£),184601000
Bournemouth University,2022/23,South West,Finances,Teaching income (£),155331000
Bournemouth University,2022/23,South West,Finances,Research income (£),12835000
Bournemouth University,2022/23,South West,Finances,Other non-residential income (£),9133000
Bournemouth University,2022/23,South West,Finances,Non-residential income total (£),177299000
Bournemouth University,2022/23,South West,Finances,Total expenditure (£),180419000
The University of Bradford,2022/23,Yorkshire and The Humber,Finances,Total income (£),177114000
The University of Bradford,2022/23,Yorkshire and The Humber,Finances,Teaching income (£),155182000
The University of Bradford,2022/23,Yorkshire and The Humber,Finances,Research income (£),9943000
The University of Bradford,2022/23,Yorkshire and The Humber,Finances,Other non-residential income (£),11002000
The University of Bradford,2022/23,Yorkshire and The Humber,Finances,Non-residential income total (£),176127000
The University of Bradford,2022/23,Yorkshire and The Humber,Finances,Total expenditure (£),171444000
The University of Brighton,2022/23,South East,Finances,Total income (£),206163000
The University of Brighton,2022/23,South East,Finances,Teaching income (£),148093000
The University of Brighton,2022/23,South East,Finances,Research income (£),17621000
The University of Brighton,2022/23,South East,Finances,Other non-residential income (£),18313000
The University of Brighton,2022/23,South East,Finances,Non-residential income total (£),184027000
The University of Brighton,2022/23,South East,Finances,Total expenditure (£),215061000
The University of Bristol,2022/23,South West,Finances,Total income (£),934147000
The University of Bristol,2022/23,South West,Finances,Teaching income (£),485616000
The University of Bristol,2022/23,South West,Finances,Research income (£),269758000
The University of Bristol,2022/23,South West,Finances,Other non-residential income (£),114404000
The University of Bristol,2022/23,South West,Finances,Non-residential income total (£),869778000
The University of Bristol,2022/23,South West,Finances,Total expenditure (£),837223000
Brunel University London,2022/23,London,Finances,Total income (£),282373000
Brunel University London,2022/23,London,Finances,Teaching income (£),185992000
Brunel University London,2022/23,London,Finances,Research income (£),30878000
Brunel University London,2022/23,London,Finances,Other non-residential income (£),22735000
Brunel University London,2022/23,London,Finances,Non-residential income total (£),239605000
Brunel University London,2022/23,London,Finances,Total expenditure (£),278195000
Buckinghamshire New University,2022/23,South East,Finances,Total income (£),188847000
Buckinghamshire New University,2022/23,South East,Finances,Teaching income (£),176264000
Buckinghamshire New University,2022/23,South East,Finances,Research income (£),617000
Buckinghamshire New University,2022/23,South East,Finances,Other non-residential income (£),6029000
Buckinghamshire New University,2022/23,South East,Finances,Non-residential income total (£),182910000
Buckinghamshire New University,2022/23,South East,Finances,Total expenditure (£),180806000
The University of Cambridge,2022/23,East of England,Finances,Total income (£),2518255000
The University of Cambridge,2022/23,East of England,Finances,Teaching income (£),453908000
The University of Cambridge,2022/23,East of England,Finances,Research income (£),713320000
The University of Cambridge,2022/23,East of England,Finances,Other non-residential income (£),1337382000
The University of Cambridge,2022/23,East of England,Finances,Non-residential income total (£),2504610000
The University of Cambridge,2022/23,East of England,Finances,Total expenditure (£),2317852000
The Institute of Cancer Research,2022/23,London,Finances,Total income (£),138641000
The Institute of Cancer Research,2022/23,London,Finances,Teaching income (£),13074000
The Institute of Cancer Research,2022/23,London,Finances,Research income (£),84190000
The Institute of Cancer Research,2022/23,London,Finances,Other non-residential income (£),41377000
The Institute of Cancer Research,2022/23,London,Finances,Non-residential income total (£),138641000
The Institute of Cancer Research,2022/23,London,Finances,Total expenditure (£),134937000
Canterbury Christ Church University,2022/23,South East,Finances,Total income (£),263808000
Canterbury Christ Church University,2022/23,South East,Finances,Teaching income (£),238454000
Canterbury Christ Church University,2022/23,South East,Finances,Research income (£),5387000
Canterbury Christ Church University,2022/23,South East,Finances,Other non-residential income (£),11712000
Canterbury Christ Church University,2022/23,South East,Finances,Non-residential income total (£),255553000
Canterbury Christ Church University,2022/23,South East,Finances,Total expenditure (£),260420000
Cardiff University,2022/23,Wales,Finances,Total income (£),636381000
Cardiff University,2022/23,Wales,Finances,Teaching income (£),339760000
Cardiff University,2022/23,Wales,Finances,Research income (£),194680000
Cardiff University,2022/23,Wales,Finances,Other non-residential income (£),72258000
Cardiff University,2022/23,Wales,Finances,Non-residential income total (£),606698000
Cardiff University,2022/23,Wales,Finances,Total expenditure (£),611469000
Cardiff Metropolitan University,2022/23,Wales,Finances,Total income (£),153234000
Cardiff Metropolitan University,2022/23,Wales,Finances,Teaching income (£),123787000
Cardiff Metropolitan University,2022/23,Wales,Finances,Research income (£),7074000
Cardiff Metropolitan University,2022/23,Wales,Finances,Other non-residential income (£),14906000
Cardiff Metropolitan University,2022/23,Wales,Finances,Non-residential income total (£),145767000
Cardiff Metropolitan University,2022/23,Wales,Finances,Total expenditure (£),147638000
The University of Central Lancashire,2022/23,North West,Finances,Total income (£),292494000
The University of Central Lancashire,2022/23,North West,Finances,Teaching income (£),237192000
The University of Central Lancashire,2022/23,North West,Finances,Research income (£),17083000
The University of Central Lancashire,2022/23,North West,Finances,Other non-residential income (£),31086000
The University of Central Lancashire,2022/23,North West,Finances,Non-residential income total (£),285361000
The University of Central Lancashire,2022/23,North West,Finances,Total expenditure (£),297579000
University of Chester,2022/23,North West,Finances,Total income (£),
University of Chester,2022/23,North West,Finances,Teaching income (£),
University of Chester,2022/23,North West,Finances,Research income (£),
University of Chester,2022/23,North West,Finances,Other non-residential income (£),
University of Chester,2022/23,North West,Finances,Non-residential income total (£),
University of Chester,2022/23,North West,Finances,Total expenditure (£),
The University of Chichester,2022/23,South East,Finances,Total income (£),65959000
The University of Chichester,2022/23,South East,Finances,Teaching income (£),48335000
The University of Chichester,2022/23,South East,Finances,Research income (£),1998000
The University of Chichester,2022/23,South East,Finances,Other non-residential income (£),6397000
The University of Chichester,2022/23,South East,Finances,Non-residential income total (£),56730000
The University of Chichester,2022/23,South East,Finances,Total expenditure (£),65916000
"City, University of London",2022/23,London,Finances,Total income (£),276726000
"City, University of London",2022/23,London,Finances,Teaching income (£),233347000
"City, University of London",2022/23,London,Finances,Research income (£),26265000
"City, University of London",2022/23,London,Finances,Other non-residential income (£),15454000
"City, University of London",2022/23,London,Finances,Non-residential income total (£),275066000
"City, University of London",2022/23,London,Finances,Total expenditure (£),272199000
Coventry University,2022/23,West Midlands,Finances,Total income (£),491296000
Coventry University,2022/23,West Midlands,Finances,Teaching income (£),425139000
Coventry University,2022/23,West Midlands,Finances,Research income (£),25785000
Coventry University,2022/23,West Midlands,Finances,Other non-residential income (£),26199000
Coventry University,2022/23,West Midlands,Finances,Non-residential income total (£),477123000
Coventry University,2022/23,West Midlands,Finances,Total expenditure (£),497251000
Cranfield University,2022/23,East of England,Finances,Total income (£),220286000
Cranfield University,2022/23,East of England,Finances,Teaching income (£),106243000
Cranfield University,2022/23,East of England,Finances,Research income (£),55624000
Cranfield University,2022/23,East of England,Finances,Other non-residential income (£),40086000
Cranfield University,2022/23,East of England,Finances,Non-residential income total (£),201953000
Cranfield University,2022/23,East of England,Finances,Total expenditure (£),223938000
University for the Creative Arts,2022/23,South East,Finances,Total income (£),123189000
University for the Creative Arts,2022/23,South East,Finances,Teaching income (£),107724000
University for the Creative Arts,2022/23,South East,Finances,Research income (£),2169000
University for the Creative Arts,2022/23,South East,Finances,Other non-residential income (£),5754000
University for the Creative Arts,2022/23,South East,Finances,Non-residential income total (£),115647000
University for the Creative Arts,2022/23,South East,Finances,Total expenditure (£),125044000
University of Cumbria,2022/23,North West,Finances,Total income (£),73648000
University of Cumbria,2022/23,North West,Finances,Teaching income (£),64080000
University of Cumbria,2022/23,North West,Finances,Research income (£),1480000
University of Cumbria,2022/23,North West,Finances,Other non-residential income (£),5540000
University of Cumbria,2022/23,North West,Finances,Non-residential income total (£),71100000
University of Cumbria,2022/23,North West,Finances,Total expenditure (£),73928000
De Montfort University,2022/23,East Midlands,Finances,Total income (£),266325000
De Montfort University,2022/23,East Midlands,Finances,Teaching income (£),235011000
De Montfort University,2022/23,East Midlands,Finances,Research income (£),11216000
De Montfort University,2022/23,East Midlands,Finances,Other non-residential income (£),16783000
De Montfort University,2022/23,East Midlands,Finances,Non-residential income total (£),263010000
De Montfort University,2022/23,East Midlands,Finances,Total expenditure (£),243533000
University of Derby,2022/23,East Midlands,Finances,Total income (£),209652000
University of Derby,2022/23,East Midlands,Finances,Teaching income (£),174361000
University of Derby,2022/23,East Midlands,Finances,Research income (£),4860000
University of Derby,2022/23,East Midlands,Finances,Other non-residential income (£),18412000
University of Derby,2022/23,East Midlands,Finances,Non-residential income total (£),197633000
University of Derby,2022/23,East Midlands,Finances,Total expenditure (£),212698000
The University of Dundee,2022/23,Scotland,Finances,Total income (£),325710000
The University of Dundee,2022/23,Scotland,Finances,Teaching income (£),183066000
The University of Dundee,2022/23,Scotland,Finances,Research income (£),100170000
The University of Dundee,2022/23,Scotland,Finances,Other non-residential income (£),31688000
The University of Dundee,2022/23,Scotland,Finances,Non-residential income total (£),314924000
The University of Dundee,2022/23,Scotland,Finances,Total expenditure (£),320922000
University of Durham,2022/23,North East,Finances,Total income (£),484223000
University of Durham,2022/23,North East,Finances,Teaching income (£),305078000
University of Durham,2022/23,North East,Finances,Research income (£),89104000
University of Durham,2022/23,North East,Finances,Other non-residential income (£),34415000
University of Durham,2022/23,North East,Finances,Non-residential income total (£),428597000
University of Durham,2022/23,North East,Finances,Total expenditure (£),489132000
The University of East Anglia,2022/23,East of England,Finances,Total income (£),345506000
The University of East Anglia,2022/23,East of England,Finances,Teaching income (£),189625000
The University of East Anglia,2022/23,East of England,Finances,Research income (£),80236000
The University of East Anglia,2022/23,East of England,Finances,Other non-residential income (£),45061000
The University of East Anglia,2022/23,East of England,Finances,Non-residential income total (£),314922000
The University of East Anglia,2022/23,East of England,Finances,Total expenditure (£),339060000
The University of East London,2022/23,London,Finances,Total income (£),247961000
The University of East London,2022/23,London,Finances,Teaching income (£),215065000
The University of East London,2022/23,London,Finances,Research income (£),5228000
The University of East London,2022/23,London,Finances,Other non-residential income (£),14699000
The University of East London,2022/23,London,Finances,Non-residential income total (£),234992000
The University of East London,2022/23,London,Finances,Total expenditure (£),239474000
Edge Hill University,2022/23,North West,Finances,Total income (£),143879000
Edge Hill University,2022/23,North West,Finances,Teaching income (£),114042000
Edge Hill University,2022/23,North West,Finances,Research income (£),5235000
Edge Hill University,2022/23,North West,Finances,Other non-residential income (£),11704000
Edge Hill University,2022/23,North West,Finances,Non-residential income total (£),130981000
Edge Hill University,2022/23,North West,Finances,Total expenditure (£),138226000
Edinburgh Napier University,2022/23,Scotland,Finances,Total income (£),168844000
Edinburgh Napier University,2022/23,Scotland,Finances,Teaching income (£),138572000
Edinburgh Napier University,2022/23,Scotland,Finances,Research income (£),9280000
Edinburgh Napier University,2022/23,Scotland,Finances,Other non-residential income (£),9314000
Edinburgh Napier University,2022/23,Scotland,Finances,Non-residential income total (£),157166000
Edinburgh Napier University,2022/23,Scotland,Finances,Total expenditure (£),161330000
The University of Edinburgh,2022/23,Scotland,Finances,Total income (£),1384728000
The University of Edinburgh,2022/23,Scotland,Finances,Teaching income (£),619693000
The University of Edinburgh,2022/23,Scotland,Finances,Research income (£),444435000
The University of Edinburgh,2022/23,Scotland,Finances,Other non-residential income (£),227300000
The University of Edinburgh,2022/23,Scotland,Finances,Non-residential income total (£),1291428000
The University of Edinburgh,2022/23,Scotland,Finances,Total expenditure (£),1227519000
The University of Essex,2022/23,East of England,Finances,Total income (£),334057000
The University of Essex,2022/23,East of England,Finances,Teaching income (£),212857000
The University of Essex,2022/23,East of England,Finances,Research income (£),48898000
The University of Essex,2022/23,East of England,Finances,Other non-residential income (£),37927000
The University of Essex,2022/23,East of England,Finances,Non-residential income total (£),299682000
The University of Essex,2022/23,East of England,Finances,Total expenditure (£),312308000
The University of Exeter,2022/23,South West,Finances,Total income (£),632916000
The University of Exeter,2022/23,South West,Finances,Teaching income (£),376375000
The University of Exeter,2022/23,South West,Finances,Research income (£),157404000
The University of Exeter,2022/23,South West,Finances,Other non-residential income (£),49223000
The University of Exeter,2022/23,South West,Finances,Non-residential income total (£),583002000
The University of Exeter,2022/23,South West,Finances,Total expenditure (£),604052000
Falmouth University,2022/23,South West,Finances,Total income (£),73903000
Falmouth University,2022/23,South West,Finances,Teaching income (£),63728000
Falmouth University,2022/23,South West,Finances,Research income (£),2286000
Falmouth University,2022/23,South West,Finances,Other non-residential income (£),7137000
Falmouth University,2022/23,South West,Finances,Non-residential income total (£),73151000
Falmouth University,2022/23,South West,Finances,Total expenditure (£),73630000
The National Film and Television School,2022/23,South East,Finances,Total income (£),22246000
The National Film and Television School,2022/23,South East,Finances,Teaching income (£),16122000
The National Film and Television School,2022/23,South East,Finances,Research income (£),1359000
The National Film and Television School,2022/23,South East,Finances,Other non-residential income (£),4765000
The National Film and Television School,2022/23,South East,Finances,Non-residential income total (£),22246000
The National Film and Television School,2022/23,South East,Finances,Total expenditure (£),21138000
Glasgow Caledonian University,2022/23,Scotland,Finances,Total income (£),179350000
Glasgow Caledonian University,2022/23,Scotland,Finances,Teaching income (£),154524000
Glasgow Caledonian University,2022/23,Scotland,Finances,Research income (£),12662000
Glasgow Caledonian University,2022/23,Scotland,Finances,Other non-residential income (£),7372000
Glasgow Caledonian University,2022/23,Scotland,Finances,Non-residential income total (£),174558000
Glasgow Caledonian University,2022/23,Scotland,Finances,Total expenditure (£),178881000
Glasgow School of Art,2022/23,Scotland,Finances,Total income (£),47110000
Glasgow School of Art,2022/23,Scotland,Finances,Teaching income (£),34899000
Glasgow School of Art,2022/23,Scotland,Finances,Research income (£),3601000
Glasgow School of Art,2022/23,Scotland,Finances,Other non-residential income (£),6385000
Glasgow School of Art,2022/23,Scotland,Finances,Non-residential income total (£),44885000
Glasgow School of Art,2022/23,Scotland,Finances,Total expenditure (£),44727000
The University of Glasgow,2022/23,Scotland,Finances,Total income (£),952196000
The University of Glasgow,2022/23,Scotland,Finances,Teaching income (£),530452000
The University of Glasgow,2022/23,Scotland,Finances,Research income (£),287182000
The University of Glasgow,2022/23,Scotland,Finances,Other non-residential income (£),105262000
The University of Glasgow,2022/23,Scotland,Finances,Non-residential income total (£),922896000
The University of Glasgow,2022/23,Scotland,Finances,Total expenditure (£),831439000
University of Gloucestershire,2022/23,South West,Finances,Total income (£),88234000
University of Gloucestershire,2022/23,South West,Finances,Teaching income (£),71460000
University of Gloucestershire,2022/23,South West,Finances,Research income (£),4058000
University of Gloucestershire,2022/23,South West,Finances,Other non-residential income (£),8320000
University of Gloucestershire,2022/23,South West,Finances,Non-residential income total (£),83838000
University of Gloucestershire,2022/23,South West,Finances,Total expenditure (£),89054000
Goldsmiths College,2022/23,London,Finances,Total income (£),141526000
Goldsmiths College,2022/23,London,Finances,Teaching income (£),111812000
Goldsmiths College,2022/23,London,Finances,Research income (£),12310000
Goldsmiths College,2022/23,London,Finances,Other non-residential income (£),8144000
Goldsmiths College,2022/23,London,Finances,Non-residential income total (£),132266000
Goldsmiths College,2022/23,London,Finances,Total expenditure (£),133226000
The University of Greenwich,2022/23,London,Finances,Total income (£),307017000
The University of Greenwich,2022/23,London,Finances,Teaching income (£),250682000
The University of Greenwich,2022/23,London,Finances,Research income (£),22791000
The University of Greenwich,2022/23,London,Finances,Other non-residential income (£),12475000
The University of Greenwich,2022/23,London,Finances,Non-residential income total (£),285948000
The University of Greenwich,2022/23,London,Finances,Total expenditure (£),296026000
Guildhall School of Music and Drama,2022/23,London,Finances,Total income (£),40074000
Guildhall School of Music and Drama,2022/23,London,Finances,Teaching income (£),22757000
Guildhall School of Music and Drama,2022/23,London,Finances,Research income (£),2719000
Guildhall School of Music and Drama,2022/23,London,Finances,Other non-residential income (£),12978000
Guildhall School of Music and Drama,2022/23,London,Finances,Non-residential income total (£),38454000
Guildhall School of Music and Drama,2022/23,London,Finances,Total expenditure (£),42142000
Heriot-Watt University,2022/23,Scotland,Finances,Total income (£),
Heriot-Watt University,2022/23,Scotland,Finances,Teaching income (£),
Heriot-Watt University,2022/23,Scotland,Finances,Research income (£),
Heriot-Watt University,2022/23,Scotland,Finances,Other non-residential income (£),
Heriot-Watt University,2022/23,Scotland,Finances,Non-residential income total (£),
Heriot-Watt University,2022/23,Scotland,Finances,Total expenditure (£),
University of Hertfordshire,2022/23,East of England,Finances,Total income (£),383998000
University of Hertfordshire,2022/23,East of England,Finances,Teaching income (£),283592000
University of Hertfordshire,2022/23,East of England,Finances,Research income (£),19364000
University of Hertfordshire,2022/23,East of England,Finances,Other non-residential income (£),47509000
University of Hertfordshire,2022/23,East of England,Finances,Non-residential income total (£),350465000
University of Hertfordshire,2022/23,East of England,Finances,Total expenditure (£),364064000
The University of Huddersfield,2022/23,Yorkshire and The Humber,Finances,Total income (£),188918000
The University of Huddersfield,2022/23,Yorkshire and The Humber,Finances,Teaching income (£),149833000
The University of Huddersfield,2022/23,Yorkshire and The Humber,Finances,Research income (£),27082000
The University of Huddersfield,2022/23,Yorkshire and The Humber,Finances,Other non-residential income (£),10920000
The University of Huddersfield,2022/23,Yorkshire and The Humber,Finances,Non-residential income total (£),187835000
The University of Huddersfield,2022/23,Yorkshire and The Humber,Finances,Total expenditure (£),196378000
The University of Hull,2022/23,Yorkshire and The Humber,Finances,Total income (£),208506000
The University of Hull,2022/23,Yorkshire and The Humber,Finances,Teaching income (£),145354000
The University of Hull,2022/23,Yorkshire and The Humber,Finances,Research income (£),22889000
The University of Hull,2022/23,Yorkshire and The Humber,Finances,Other non-residential income (£),23369000
The University of Hull,2022/23,Yorkshire and The Humber,Finances,Non-residential income total (£),191612000
The University of Hull,2022/23,Yorkshire and The Humber,Finances,Total expenditure (£),207805000
"Imperial College of Science, Technology and Medicine",2022/23,London,Finances,Total income (£),1268852000
"Imperial College of Science, Technology and Medicine",2022/23,London,Finances,Teaching income (£),522280000
"Imperial College of Science, Technology and Medicine",2022/23,London,Finances,Research income (£),496230000
"Imperial College of Science, Technology and Medicine",2022/23,London,Finances,Other non-residential income (£),191856000
"Imperial College of Science, Technology and Medicine",2022/23,London,Finances,Non-residential income total (£),1210366000
"Imperial College of Science, Technology and Medicine",2022/23,London,Finances,Total expenditure (£),1240080000
Keele University,2022/23,West Midlands,Finances,Total income (£),206323000
Keele University,2022/23,West Midlands,Finances,Teaching income (£),118080000
Keele University,2022/23,West Midlands,Finances,Research income (£),27133000
Keele University,2022/23,West Midlands,Finances,Other non-residential income (£),42921000
Keele University,2022/23,West Midlands,Finances,Non-residential income total (£),188134000
Keele University,2022/23,West Midlands,Finances,Total expenditure (£),183536000
The University of Kent,2022/23,South East,Finances,Total income (£),
The University of Kent,2022/23,South East,Finances,Teaching income (£),
The University of Kent,2022/23,South East,Finances,Research income (£),
The University of Kent,2022/23,South East,Finances,Other non-residential income (£),
The University of Kent,2022/23,South East,Finances,Non-residential income total (£),
The University of Kent,2022/23,South East,Finances,Total expenditure (£),
King's College London,2022/23,London,Finances,Total income (£),1229959000
King's College London,2022/23,London,Finances,Teaching income (£),669035000
King's College London,2022/23,London,Finances,Research income (£),323350000
King's College London,2022/23,London,Finances,Other non-residential income (£),168477000
King's College London,2022/23,London,Finances,Non-residential income total (£),1160862000
King's College London,2022/23,London,Finances,Total expenditure (£),1101699000
Kingston University,2022/23,London,Finances,Total income (£),229505000
Kingston University,2022/23,London,Finances,Teaching income (£),188145000
Kingston University,2022/23,London,Finances,Research income (£),9458000
Kingston University,2022/23,London,Finances,Other non-residential income (£),13759000
Kingston University,2022/23,London,Finances,Non-residential income total (£),211362000
Kingston University,2022/23,London,Finances,Total expenditure (£),231381000
The University of Lancaster,2022/23,North West,Finances,Total income (£),381775000
The University of Lancaster,2022/23,North West,Finances,Teaching income (£),220478000
The University of Lancaster,2022/23,North West,Finances,Research income (£),75697000
The University of Lancaster,2022/23,North West,Finances,Other non-residential income (£),44659000
The University of Lancaster,2022/23,North West,Finances,Non-residential income total (£),340834000
The University of Lancaster,2022/23,North West,Finances,Total expenditure (£),345936000
Leeds Arts University,2022/23,Yorkshire and The Humber,Finances,Total income (£),25732000
Leeds Arts University,2022/23,Yorkshire and The Humber,Finances,Teaching income (£),24692000
Leeds Arts University,2022/23,Yorkshire and The Humber,Finances,Research income (£),461000
Leeds Arts University,2022/23,Yorkshire and The Humber,Finances,Other non-residential income (£),579000
Leeds Arts University,2022/23,Yorkshire and The Humber,Finances,Non-residential income total (£),25732000
Leeds Arts University,2022/23,Yorkshire and The Humber,Finances,Total expenditure (£),24121000
Leeds Beckett University,2022/23,Yorkshire and The Humber,Finances,Total income (£),238515000
Leeds Beckett University,2022/23,Yorkshire and The Humber,Finances,Teaching income (£),195272000
Leeds Beckett University,2022/23,Yorkshire and The Humber,Finances,Research income (£),8797000
Leeds Beckett University,2022/23,Yorkshire and The Humber,Finances,Other non-residential income (£),19960000
Leeds Beckett University,2022/23,Yorkshire and The Humber,Finances,Non-residential income total (£),224029000
Leeds Beckett University,2022/23,Yorkshire and The Humber,Finances,Total expenditure (£),244970000
The University of Leeds,2022/23,Yorkshire and The Humber,Finances,Total income (£),985279000
The University of Leeds,2022/23,Yorkshire and The Humber,Finances,Teaching income (£),556758000
The University of Leeds,2022/23,Yorkshire and The Humber,Finances,Research income (£),242375000
The University of Leeds,2022/23,Yorkshire and The Humber,Finances,Other non-residential income (£),124167000
The University of Leeds,2022/23,Yorkshire and The Humber,Finances,Non-residential income total (£),923300000
The University of Leeds,2022/23,Yorkshire and The Humber,Finances,Total expenditure (£),912453000
Leeds Trinity University,2022/23,Yorkshire and The Humber,Finances,Total income (£),64230000
Leeds Trinity University,2022/23,Yorkshire and The Humber,Finances,Teaching income (£),57759000
Leeds Trinity University,2022/23,Yorkshire and The Humber,Finances,Research income (£),373000
Leeds Trinity University,2022/23,Yorkshire and The Humber,Finances,Other non-residential income (£),2595000
Leeds Trinity University,2022/23,Yorkshire and The Humber,Finances,Non-residential income total (£),60727000
Leeds Trinity University,2022/23,Yorkshire and The Humber,Finances,Total expenditure (£),59795000
The University of Leicester,2022/23,East Midlands,Finances,Total income (£),368999000
The University of Leicester,2022/23,East Midlands,Finances,Teaching income (£),215215000
The University of Leicester,2022/23,East Midlands,Finances,Research income (£),91698000
The University of Leicester,2022/23,East Midlands,Finances,Other non-residential income (£),36380000
The University of Leicester,2022/23,East Midlands,Finances,Non-residential income total (£),343293000
The University of Leicester,2022/23,East Midlands,Finances,Total expenditure (£),357984000
The University of Lincoln,2022/23,East Midlands,Finances,Total income (£),240374000
The University of Lincoln,2022/23,East Midlands,Finances,Teaching income (£),182657000
The University of Lincoln,2022/23,East Midlands,Finances,Research income (£),21672000
The University of Lincoln,2022/23,East Midlands,Finances,Other non-residential income (£),11436000
The University of Lincoln,2022/23,East Midlands,Finances,Non-residential income total (£),215765000
The University of Lincoln,2022/23,East Midlands,Finances,Total expenditure (£),234388000
Liverpool Hope University,2022/23,North West,Finances,Total income (£),58243000
Liverpool Hope University,2022/23,North West,Finances,Teaching income (£),48887000
Liverpool Hope University,2022/23,North West,Finances,Research income (£),1756000
Liverpool Hope University,2022/23,North West,Finances,Other non-residential income (£),1435000
Liverpool Hope University,2022/23,North West,Finances,Non-residential income total (£),52078000
Liverpool Hope University,2022/23,North West,Finances,Total expenditure (£),55934000
Liverpool John Moores University,2022/23,North West,Finances,Total income (£),277270000
Liverpool John Moores University,2022/23,North West,Finances,Teaching income (£),241512000
Liverpool John Moores University,2022/23,North West,Finances,Research income (£),23538000
Liverpool John Moores University,2022/23,North West,Finances,Other non-residential income (£),9850000
Liverpool John Moores University,2022/23,North West,Finances,Non-residential income total (£),274900000
Liverpool John Moores University,2022/23,North West,Finances,Total expenditure (£),255491000
The University of Liverpool,2022/23,North West,Finances,Total income (£),675158000
The University of Liverpool,2022/23,North West,Finances,Teaching income (£),394481000
The University of Liverpool,2022/23,North West,Finances,Research income (£),160641000
The University of Liverpool,2022/23,North West,Finances,Other non-residential income (£),89323000
The University of Liverpool,2022/23,North West,Finances,Non-residential income total (£),644445000
The University of Liverpool,2022/23,North West,Finances,Total expenditure (£),664837000
Liverpool School of Tropical Medicine,2022/23,North West,Finances,Total income (£),154796000
Liverpool School of Tropical Medicine,2022/23,North West,Finances,Teaching income (£),9544000
Liverpool School of Tropical Medicine,2022/23,North West,Finances,Research income (£),128426000
Liverpool School of Tropical Medicine,2022/23,North West,Finances,Other non-residential income (£),16826000
Liverpool School of Tropical Medicine,2022/23,North West,Finances,Non-residential income total (£),154796000
Liverpool School of Tropical Medicine,2022/23,North West,Finances,Total expenditure (£),146899000
"University of the Arts, London",2022/23,London,Finances,Total income (£),425378000
"University of the Arts, London",2022/23,London,Finances,Teaching income (£),362383000
"University of the Arts, London",2022/23,London,Finances,Research income (£),8534000
"University of the Arts, London",2022/23,London,Finances,Other non-residential income (£),23177000
"University of the Arts, London",2022/23,London,Finances,Non-residential income total (£),394094000
"University of the Arts, London",2022/23,London,Finances,Total expenditure (£),409597000
